name,id,status,source
150x30,65854,ACTIVE,ad_unit_api_v4
160x600,61115,ACTIVE,ad_unit_api_v4
234x60,63415,ACTIVE,ad_unit_api_v4
300x250,61117,ACTIVE,ad_unit_api_v4
320x50,68385,ACTIVE,ad_unit_api_v4
728x90,61116,ACTIVE,ad_unit_api_v4
970x66,68384,ACTIVE,ad_unit_api_v4
Any_Mid_Roll_Position_2,61798,ACTIVE,ad_unit_api_v4
BETPlus_Commercial Free_Promo,67755,ACTIVE,ad_unit_api_v4
BETPlus_LinearSkippable_Promo_Pre_Roll,67754,ACTIVE,ad_unit_api_v4
CBS_Brand Bumper_Mid_Roll_First,61119,ACTIVE,ad_unit_api_v4
CBS_Brand Bumper_Mid_Roll_Last,61123,ACTIVE,ad_unit_api_v4
CBS_Brand Bumper_Pre_Roll,61107,ACTIVE,ad_unit_api_v4
CBS_Promo_Pre_Roll,66704,ACTIVE,ad_unit_api_v4
CBSNews_Audio,62469,IN_ACTIVE,ad_unit_api_v4
CTA_Midroll_Bumper_Back,61890,IN_ACTIVE,ad_unit_api_v4
CTA_Midroll_Bumper_Front,61888,IN_ACTIVE,ad_unit_api_v4
DNU_mid_roll,74703,IN_ACTIVE,ad_unit_api_v4
DNU_post_roll,74704,IN_ACTIVE,ad_unit_api_v4
DNU_pre_roll,74702,IN_ACTIVE,ad_unit_api_v4
fixed_mid1_posA,73680,ACTIVE,ad_unit_api_v4
fixed_mid1_posB,73681,ACTIVE,ad_unit_api_v4
fixed_mid1_posC,73682,ACTIVE,ad_unit_api_v4
fixed_mid1_posD,73683,ACTIVE,ad_unit_api_v4
fixed_mid1_posE,73684,ACTIVE,ad_unit_api_v4
fixed_mid1_posF,73685,ACTIVE,ad_unit_api_v4
fixed_mid2_posA,73767,ACTIVE,ad_unit_api_v4
fixed_mid2_posB,73768,ACTIVE,ad_unit_api_v4
fixed_mid2_posC,73769,ACTIVE,ad_unit_api_v4
fixed_mid2_posD,73770,ACTIVE,ad_unit_api_v4
fixed_mid2_posE,73771,ACTIVE,ad_unit_api_v4
fixed_mid2_posF,73772,ACTIVE,ad_unit_api_v4
fixed_mid3_posA,73773,ACTIVE,ad_unit_api_v4
fixed_mid3_posB,73774,ACTIVE,ad_unit_api_v4
fixed_mid3_posC,73775,ACTIVE,ad_unit_api_v4
fixed_mid3_posD,73776,ACTIVE,ad_unit_api_v4
fixed_mid3_posE,73777,ACTIVE,ad_unit_api_v4
fixed_mid3_posF,73778,ACTIVE,ad_unit_api_v4
fixed_mid4_posA,73779,ACTIVE,ad_unit_api_v4
fixed_mid4_posB,73780,ACTIVE,ad_unit_api_v4
fixed_mid4_posC,73781,ACTIVE,ad_unit_api_v4
fixed_mid4_posD,73782,ACTIVE,ad_unit_api_v4
fixed_mid4_posE,73783,ACTIVE,ad_unit_api_v4
fixed_mid4_posF,73784,ACTIVE,ad_unit_api_v4
fixed_mid5_posA,73785,ACTIVE,ad_unit_api_v4
fixed_mid5_posB,73786,ACTIVE,ad_unit_api_v4
fixed_mid5_posC,73787,ACTIVE,ad_unit_api_v4
fixed_mid5_posD,73788,ACTIVE,ad_unit_api_v4
fixed_mid5_posE,73789,ACTIVE,ad_unit_api_v4
fixed_mid5_posF,73790,ACTIVE,ad_unit_api_v4
fixed_mid6_posA,76643,ACTIVE,ad_unit_api_v4
fixed_mid6_posB,76644,ACTIVE,ad_unit_api_v4
fixed_mid6_posC,76645,ACTIVE,ad_unit_api_v4
fixed_mid7_posA,76660,ACTIVE,ad_unit_api_v4
Halo_Mid_Roll_1,68252,ACTIVE,ad_unit_api_v4
Halo_Mid_Roll_2,68253,ACTIVE,ad_unit_api_v4
Halo_Mid_Roll_3,68254,ACTIVE,ad_unit_api_v4
Halo_Mid_Roll_4,68255,ACTIVE,ad_unit_api_v4
hyldadoublebox,74569,ACTIVE,ad_unit_api_v4
hyldalbar,74570,ACTIVE,ad_unit_api_v4
hyldamidroll,74527,ACTIVE,ad_unit_api_v4
Live Feed Disclaimer,61748,ACTIVE,ad_unit_api_v4
Local_mid_roll,74700,ACTIVE,ad_unit_api_v4
Local_post_roll,74699,ACTIVE,ad_unit_api_v4
Local_pre_roll,74701,ACTIVE,ad_unit_api_v4
Mid_Roll,61101,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 10_First,61144,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 10_Last,61145,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 11_First,61146,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 11_Last,61147,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 12_First,61148,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 12_Last,61149,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 13_First,61150,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 13_Last,61151,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 14_First,61152,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 14_Last,61153,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 15_First,61154,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 15_Last,61155,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 1_First,61126,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 1_Last,61127,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 1_Second,62335,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 2_First,61128,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 2_Last,61129,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 3_First,61130,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 3_Last,61131,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 4_First,61132,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 4_Last,61133,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 5_First,61134,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 5_Last,61135,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 6_First,61136,ACTIVE,ad_unit_api_v4
