show,segment_name,segment_id,platform,region,source
Top Gear,AAM-VCBS-d27: Extension | Top Gear : Paramount Wide,25455246,Pluto TV,USA,pluto
Blue Bloods,AAM - ViacomCBS Addressable / d27: Extension | Blue Bloods : Paramount Wide,,Pluto TV,USA,pluto
COPS,AAM-VCBS-d27: Extension | COPS : Paramount Wide,25461319,Pluto TV,USA,pluto
Bar Rescue,AAM-VCBS-d27: Extension | Bar Rescue : Paramount Wide,25461523,Pluto TV,USA,pluto
Dog The Bounty Hunter,AAM-VCBS-d27: Extension | Dog The Bounty Hunter : Paramount Wide,25461526,Pluto TV,USA,pluto
Rawhide,AAM-VCBS-d27: Extension | Rawhide : Paramount Wide,25463664,Pluto TV,USA,pluto
Wanted Dead or Alive,AAM-VCBS-d27: Extension | Wanted Dead or Alive : Paramount Wide,25463677,Pluto TV,USA,pluto
Forensic Files,AAM-VCBS-d27: Extension | Forensic Files: Paramount Wide,25461306,Pluto TV,USA,pluto
Unsolved Mysteries,AAM-VCBS-d27: Extension | Unsolved Mysteries : Paramount Wide,25461521,Pluto TV,USA,pluto
Cold Case Files,AAM-VCBS-d27: Extension | Cold Case Files : Paramount Wide,25461517,Pluto TV,USA,pluto
