show,segment_name,segment_id,platform,region,source
,LR-TIMSTEST1,1304470,DDA,,audience_items
,US-LR-Swoop_1020119061_Aug25,1308907,DDA,,audience_items
,US-LR-DM-Acxiom-InMarket_NewLuxuryVehicle,1308912,DDA,,audience_items
,US-LR-DM-Acxiom-InMarket_NewVehicle,1308999,DDA,,audience_items
,US-LR-DM-Acxiom-InMarket_UsedVehicle,1309000,DDA,,audience_items
,US-LR-Swoop-0825_1020207431,1309045,DDA,,audience_items
,US-LR-Swoop-0825_1020207441,1309046,DDA,,audience_items
,US-LR-Swoop-0825_1020207461,1309047,DDA,,audience_items
,US-LR-DM-Alliant-MoviesShows_Avatar_Aug25,1309052,DDA,,audience_items
,US-LR-DM-Alliant-Genre_Animation_Aug25,1309053,DDA,,audience_items
,US-LR-DM-UltimateData-Ghibli_Aug25,1309054,DDA,,audience_items
,US-LR-DM-UltimateData-OnePiece_Aug25,1309055,DDA,,audience_items
,US-LR-DM-UltimateData-Naruto_Aug25,1309056,DDA,,audience_items
,US-LR-Swoop_1019605161_Aug25,1309176,DDA,,audience_items
,US-LR-Swoop_1019605171_Aug25,1309178,DDA,,audience_items
,US-LR-DM-AffinityAnswers-AwardShows deactivated at 2025-08-20 13:54:47 UTC,1309317,DDA,,audience_items
,US-LR-DM-Acxiom-HomeAgeAfter2000-Aug25,1309318,DDA,,audience_items
,US-LR-DM-Epsilon_VikingCruisesRefresh_Aug25,1309352,DDA,,audience_items
,US-LR-DM-AnalyticsIQ_10-49-Employees_Aug25,1309353,DDA,,audience_items
,US-LR-DM-AnalyticsIQ_Annual-Revenue-500Mplus_Aug25,1309354,DDA,,audience_items
,US-LR-DM-AnalyticsIQ_Annual-Revenue-100m-499m_Aug25,1309355,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-AnalyticsIQ_WorkFromHome_Aug25,1309357,DDA,,audience_items
,US-LR-DM-Acxiom-Spanish-Speakers-Aug25,1309358,DDA,,audience_items
,US-LR-DM-Acxiom_PresenceofChildren_Yes_Aug25,1309359,DDA,,audience_items
,US-LR-DM-AnalyticsIQ_50-99-Employees_Aug25,1309360,DDA,,audience_items
