fw_id,name,country_iso,state_fw_id
294487,abra de araguyoc,AR,3169
310166,abra del gallo,AR,3169
319786,abra grande,AR,3169
274361,acambuco,AR,3169
256922,acazoque,AR,3169
356498,acharas,AR,3169
154405,acosta,AR,3169
250864,acoyte,AR,3169
388411,agua negra,AR,3169
286674,agua sucia,AR,3169
442969,agua verde,AR,3169
350689,aguaray,AR,3169
287040,aguas blancas,AR,3169
275190,aguas calientes,AR,3169
267897,aguas muertas,AR,3169
285598,alejo de alberro,AR,3169
260959,alfarcito,AR,3169
375046,algarrobal,AR,3169
374665,algarrobal viejo,AR,3169
398213,almirante brown,AR,3169
321029,almona,AR,3169
442006,alto alegre,AR,3169
311208,alto de la sierra,AR,3169
348804,alto del mistol,AR,3169
411267,alto verde,AR,3169
362783,altos hornos guemes,AR,3169
388054,amaicha,AR,3169
297950,amberes,AR,3169
409530,amblayo,AR,3169
828224,angastaco,AR,3169
261866,angel peredo,AR,3169
366947,angostura,AR,3169
802061,animana,AR,3169
263728,antonio alice,AR,3169
347507,antonio quijarro,AR,3169
786360,apolinario saravia,AR,3169
342659,arbol solo,AR,3169
293852,arenal,AR,3169
297327,arenales,AR,3169
440613,arita,AR,3169
245138,arjuntas,AR,3169
335345,arrocero italiano,AR,3169
264158,astillero,AR,3169
350101,atocha,AR,3169
322910,bacoya,AR,3169
323908,bajada blanca,AR,3169
329440,bajada de gavi,AR,3169
456178,bajo grande,AR,3169
450222,balboa,AR,3169
419890,balbuena,AR,3169
400267,balderrama,AR,3169
417725,ballenal,AR,3169
314576,banda grande,AR,3169
375337,barbayasco,AR,3169
242963,baritu,AR,3169
309957,barrealito,AR,3169
322273,barrial,AR,3169
390275,barrio parabolica,AR,3169
440871,barrio san antonio,AR,3169
285880,barro negro,AR,3169
280720,belgrano,AR,3169
345649,belgrano fortin 2,AR,3169
443703,bella vista,AR,3169
454353,betania,AR,3169
409033,bodeguita,AR,3169
366040,brealito,AR,3169
277675,buen lugar,AR,3169
429707,buena fe,AR,3169
398897,buena vista,AR,3169
406634,burro yaco,AR,3169
1323350,cabeza de anta,AR,3169
332717,cabeza de buey,AR,3169
266700,cachi,AR,3169
236811,cachi adentro,AR,3169
265979,cachinal,AR,3169
240982,cacho molino,AR,3169
1,cafayate,AR,3169
347817,caipe,AR,3169
387871,caldera,AR,3169
383142,calderilla,AR,3169
251240,calvimonte,AR,3169
365900,camara,AR,3169
352164,caminera san pedrito,AR,3169
379269,campamento vespucio,AR,3169
258581,campichuelo,AR,3169
349949,campo alegre,AR,3169
332619,campo argentino,AR,3169
251821,campo azul,AR,3169
347349,campo caseros,AR,3169
435202,campo duran,AR,3169
253955,campo largo,AR,3169
383414,campo libre,AR,3169
118924,campo quijano,AR,3169
443464,campo santo,AR,3169
356665,campos de alemania,AR,3169
426624,cangrejillos,AR,3169
358517,capiazutti,AR,3169
351244,capitan juan page,AR,3169
295023,carabajal,AR,3169
344752,carahuasi,AR,3169
358858,carapari,AR,3169
350509,carreras,AR,3169
275513,casa grande,AR,3169
436651,castellanos,AR,3169
419535,cauchari,AR,3169
343736,cebados,AR,3169
331271,ceibal,AR,3169
327267,ceibalito,AR,3169
147208,cerrillos,AR,3169
273386,cerro bayo,AR,3169
427567,cerro bravo,AR,3169
338697,cerro de la zorra vieja,AR,3169
389163,cerro negro,AR,3169
282112,chachapoyas,AR,3169
430633,chachas,AR,3169
318328,chaguaral,AR,3169
342264,chamical,AR,3169
321165,chanar,AR,3169
451291,chanar muyo,AR,3169
223166,chicoana,AR,3169
252556,chirete,AR,3169
242208,chivilme,AR,3169
385921,chorrillitos,AR,3169
437125,chorro blanco,AR,3169
251648,chorroarin,AR,3169
426658,chuculaqui,AR,3169
793958,cnel juan sola est morillo,AR,3169
444591,cobas,AR,3169
426512,cobos,AR,3169
262028,colanzuli,AR,3169
372832,colome,AR,3169
305634,colonia a,AR,3169
436157,colonia el fuerte,AR,3169
336734,colonia otomana,AR,3169
337232,colonia santa maria,AR,3169
102852,colonia santa rosa,AR,3169
288104,colonia santa rosa de lima,AR,3169
368778,colorado,AR,3169
455429,conchas,AR,3169
441551,condado,AR,3169
407484,copo quile,AR,3169
246345,coronel cornejo,AR,3169
1324649,coronel moldes,AR,3169
1324469,coronel mollinedo,AR,3169
357347,coronel olleros,AR,3169
267602,coronel vidt,AR,3169
256517,coropampa,AR,3169
279885,corral quemado,AR,3169
340395,corralito,AR,3169
276645,cortaderas,AR,3169
