fw_id,dma_code,name
1,500,"Portland-Auburn, ME"
2,501,"New York, NY"
3,502,"Binghamton, NY"
4,503,"Macon, GA"
5,504,"Philadelphia, PA"
6,505,"Detroit, MI"
7,506,"Boston-Manchester, MA"
8,507,"Savannah, GA-SC"
9,508,"Pittsburgh, PA"
10,509,"Ft Wayne, IN"
11,510,"Cleveland-Akron-Canton, OH"
12,511,"Washington-Hagerstown, DC"
13,512,"Baltimore, MD"
14,513,"Flint-Saginaw-Bay City, MI"
15,514,"Buffalo, NY"
16,515,"Cincinnati, OH"
17,516,"Erie, PA"
18,517,"Charlotte, NC-SC"
19,518,"Winston Salem-Greensboro-High Point, NC"
20,519,"Charleston, SC"
21,520,"Augusta-Aiken, GA-SC"
22,521,"Providence-New Bedford, RI"
23,522,"Columbus, GA-Opelika, AL"
24,523,"Burlington, VT-Plattsburgh, NY"
25,524,"Atlanta, GA"
26,525,"Albany, GA"
27,526,"Utica-Rome, NY"
28,527,"Indianapolis, IN"
29,528,"Miami-Ft. Lauderdale, FL"
30,529,"Louisville, KY"
31,530,"Tallahassee-Thomasville, FL"
32,531,"Tri-Cities, TN"
33,532,"Albany-Schenectady-Troy, NY"
34,533,"Hartford-New Haven, CT"
35,534,"Orlando-Daytona Beach-Melbourne, FL"
36,535,"Columbus, OH"
37,536,"Youngstown-Warren, OH"
38,537,"Bangor, ME"
39,538,"Rochester, NY"
40,539,"Tampa-St. Petersburg-Sarasota, FL"
41,540,"Traverse City-Cadillac, MI"
42,541,"Lexington, KY"
43,542,"Dayton, OH"
44,543,"Springfield-Holyoke, MA"
45,544,"Norfolk-Portsmouth, VA"
46,545,"Greenville-New Bern-Washington, NC"
47,546,"Columbia, SC"
48,547,"Toledo, OH"
49,548,"West Palm Beach-Ft. Pierce, FL"
50,549,"Watertown, NY"
51,550,"Wilmington, NC"
52,551,"Lansing, MI"
53,552,"Presque Isle, ME"
54,553,"Marquette, MI"
55,554,"Wheeling, WV-Steubenville, OH"
56,555,"Syracuse, NY"
57,556,"Richmond-Petersburg, VA"
58,557,"Knoxville, TN"
59,558,"Lima, OH"
60,559,"Bluefield-Beckley-Oak Hill, WV"
61,560,"Raleigh-Durham-Fayetteville, NC"
62,561,"Jacksonville, FL"
63,563,"Grand Rapids-Kalamazoo-Battle Creek, MI"
64,564,"Charleston-Huntington, WV"
65,565,"Elmira-Corning, NY"
66,566,"Harrisburg-Lancaster-Lebanon-York, PA"
67,567,"Greenville-Spartanburg-Asheville, SC"
68,569,"Harrisonburg, VA"
69,570,"Myrtle Beach-Florence, SC"
70,571,"Ft. Myers-Naples, FL"
71,573,"Roanoke-Lynchburg, VA"
72,574,"Johnstown-Altoona-State College, PA"
73,575,"Chattanooga, TN"
74,576,"Salisbury, MD"
75,577,"Wilkes Barre-Scranton-Hazleton, PA"
76,581,"Terre Haute, IN"
77,582,"Lafayette, IN"
78,583,"Alpena, MI"
79,584,"Charlottesville, VA"
80,588,"South Bend-Elkhart, IN"
81,592,"Gainesville, FL"
82,596,"Zanesville, OH"
83,597,"Parkersburg, WV"
84,598,"Clarksburg-Weston, WV"
85,600,"Corpus Christi, TX"
86,602,"Chicago, IL"
87,603,"Joplin-Pittsburg, MO"
88,604,"Columbia-Jefferson City, MO"
89,605,"Topeka, KS"
90,606,"Dothan, AL"
91,609,"St Louis, MO"
92,610,"Rockford, IL"
93,611,"Rochester-Mason City-Austin, MN"
94,612,"Shreveport, LA"
95,613,"Minneapolis-St Paul, MN"
96,616,"Kansas City, MO"
97,617,"Milwaukee, WI"
98,618,"Houston, TX"
99,619,"Springfield, MO"
100,622,"New Orleans, LA"
101,623,"Dallas-Fort Worth, TX"
102,624,"Sioux City, IA"
103,625,"Waco-Temple-Bryan, TX"
104,626,"Victoria, TX"
105,627,"Wichita Falls-Lawton, TX"
106,628,"Monroe, LA-El Dorado, AR"
107,630,"Birmingham-Anniston-Tuscaloosa, AL"
108,631,"Ottumwa-Kirksville, IA"
109,632,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mt Vernon, IL"
110,633,"Odessa-Midland, TX"
111,634,"Amarillo, TX"
112,635,"Austin, TX"
113,636,"Harlingen-Weslaco-Brownsville-McAllen, TX"
114,637,"Cedar Rapids-Waterloo-Iowa City-Dubuque, IA"
115,638,"St Joseph, MO"
116,639,"Jackson, TN"
117,640,"Memphis, TN"
118,641,"San Antonio, TX"
119,642,"Lafayette, LA"
120,643,"Lake Charles, LA"
121,644,"Alexandria, LA"
122,648,"Champaign-Springfield-Decatur, IL"
123,649,"Evansville, IN"
124,650,"Oklahoma City, OK"
125,651,"Lubbock, TX"
126,652,"Omaha, NE"
127,656,"Panama City, FL"
128,657,"Sherman, TX-Ada, OK"
129,658,"Green Bay-Appleton, WI"
130,659,"Nashville, TN"
131,661,"San Angelo, TX"
132,662,"Abilene-Sweetwater, TX"
133,669,"Madison, WI"
134,670,"Ft. Smith-Fayetteville-Springdale-Rogers, AR"
135,671,"Tulsa, OK"
136,673,"Columbus-Tupelo-West Point-Houston, MS"
137,675,"Peoria-Bloomington, IL"
138,676,"Duluth-Superior, MN"
139,678,"Wichita-Hutchinson, KS"
140,679,"Des Moines-Ames, IA"
141,682,"Davenport-Rock Island-Moline, IL"
142,686,"Mobile, AL-Pensacola, FL"
143,687,"Minot-Bismarck-Dickinson, ND"
144,691,"Huntsville-Decatur, AL"
145,692,"Beaumont-Port Arthur, TX"
146,693,"Little Rock-Pine Bluff, AR"
147,698,"Montgomery-Selma, AL"
148,702,"La Crosse-Eau Claire, WI"
149,705,"Wausau-Rhinelander, WI"
150,709,"Tyler-Longview-Jacksonville(Lufkin-Nacogdoches), TX"
151,710,"Hattiesburg-Laurel, MS"
152,711,"Meridian, MS"
153,716,"Baton Rouge, LA"
154,717,"Quincy-Hannibal-Keokuk, IL"
155,718,"Jackson, MS"
156,722,"Lincoln-Hastings-Kearny, NE"
157,724,"Fargo-Valley City, ND"
158,725,"Sioux Falls-Mitchell, SD"
159,734,"Jonesboro, AR"
160,736,"Bowling Green, KY"
161,737,"Mankato, MN"
162,740,"North Platte, NE"
163,743,"Anchorage, AK"
164,744,"Honolulu, HI"
165,745,"Fairbanks, AK"
166,746,"Biloxi-Gulfport, MS"
167,749,"Laredo, TX"
168,751,"Denver, CO"
169,752,"Colorado Springs-Pueblo, CO"
170,753,"Phoenix-Prescott, AZ"
171,754,"Butte-Bozeman, MT"
172,755,"Great Falls, MT"
173,756,"Billings, MT"
174,757,"Boise, ID"
175,758,"Idaho Falls-Pocatello-Jackson, ID"
176,759,"Cheyenne-Scottsbluff, WY"
177,760,"Twin Falls, ID"
178,762,"Missoula, MT"
179,764,"Rapid City, SD"
180,765,"El Paso-Las Cruces, TX"
181,766,"Helena, MT"
182,767,"Casper-Riverton, WY"
183,770,"Salt Lake City, UT"
184,771,"Yuma-El Centro, AZ"
185,773,"Grand Junction-Montrose, CO"
186,789,"Tucson-Sierra Vista, AZ"
187,790,"Albuquerque-Santa Fe, NM"
188,798,"Glendive, MT"
189,800,"Bakersfield, CA"
190,801,"Eugene, OR"
191,802,"Eureka, CA"
192,803,"Los Angeles, CA"
193,804,"Palm Springs, CA"
194,807,"San Francisco-Oakland-San Jose, CA"
195,810,"Yakima-Pasco-Richland-Kennewick, WA"
196,811,"Reno, NV"
197,813,"Medford-Klamath Falls, OR"
198,819,"Seattle-Tacoma, WA"
199,820,"Portland, OR"
200,821,"Bend, OR"
201,825,"San Diego, CA"
202,828,"Monterey-Salinas, CA"
203,839,"Las Vegas, NV"
204,855,"Santa Barbara-San Marcos-San Luis Obispo, CA"
205,862,"Sacramento-Stockton-Modesto, CA"
206,866,"Fresno-Visalia, CA"
207,868,"Chico-Redding, CA"
208,881,"Spokane, WA"
209,647,"Greenwood-Greenville, MS"
210,747,"Juneau, AK"
