name,id,status,external_id,source
SG: PlutoTV Category,951046,ACTIVE,,site_group_api_v4
SG: PlutoTV Category Crime: DK,1162867,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Adults: UK,1301142,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: AR,1185275,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: AT,1189769,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: CA,1192810,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: CH,1189779,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: DE,1189775,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: DK,1184851,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: DO,1185277,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: EC,1185278,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: HN,1185280,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: NO,1184859,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: SV,1185279,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: UK,1189780,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: UY,1185281,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Classic TV: VE,1185282,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: AR,1163151,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: AT,1193077,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: AU,1238469,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: BO,1163152,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: BR,1163168,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: CA,1163170,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: CH,1193078,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: CL,1163153,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: CO,1163155,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: CR,1163154,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: DE,1193075,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: DK,1193080,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: DO,1163156,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: EC,1163157,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: ES,1192084,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: FI,1192086,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: FR,1192092,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: Global,1163150,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: GSA,1197992,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: GT,1163158,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: HN,1163159,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: IE,1253673,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: IT,1192109,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: LATAM,1198033,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: MX,1163160,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: NI,1163161,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: NO,1193079,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: PA,1163162,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: PE,1163163,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: PY,1163164,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: SE,1192156,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: SV,1163165,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: UK,1192163,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: US,1163169,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: UY,1163166,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: ClassicTV: VE,1163167,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: AR,1165452,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: AT,1184844,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: AU,1238464,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: BO,1165453,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: BR,1165469,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: CA,1165471,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: CH,1165475,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: CL,1165454,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: CO,1165456,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: CR,1165455,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: DE,1165474,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: DK,1165472,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: DO,1165457,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: EC,1165458,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: ES,1165476,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: FI,1163049,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: FR,1165477,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: Global,1163047,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: GSA,1197993,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: GT,1165459,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: HN,1165460,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: IE,1253674,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: IT,1165478,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: LATAM,1198034,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: MX,1165461,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: NI,1165462,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: NO,1165473,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PA,1165463,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PE,1165464,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PY,1165465,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: SE,1192155,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: SV,1165466,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: UK,1165470,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: US,1163048,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: UY,1165467,ACTIVE,,site_group_api_v4
