id,name,status
74003220,VG: Genre: Action,ACTIVE
74003234,VG: Genre: Adventure,ACTIVE
74003233,VG: Genre: Action-Adventure,IN_ACTIVE
74003231,VG: Genre: Action - Adventure,ACTIVE
74003239,VG: Genre: War,ACTIVE
74003238,VG: Genre: MartialArts,IN_ACTIVE
74003237,VG: Genre: Live Action,ACTIVE
74003245,VG: Genre: Animation,ACTIVE
74003243,VG: Genre: AfricanAmerican,IN_ACTIVE
74003240,VG: Genre: Western,ACTIVE
74003251,VG: Genre: Family,ACTIVE
74003250,VG: Genre: Childrens Television,ACTIVE
74003246,VG: Genre: Anime,ACTIVE
74003255,VG: Genre: Teen,ACTIVE
74003254,VG: Genre: Preschool,ACTIVE
74003252,VG: Genre: Kids,ACTIVE
74003260,VG: Genre: Sitcom,ACTIVE
74003258,VG: Genre: Comedy,ACTIVE
74003269,VG: Genre: Drama,ACTIVE
74003267,VG: Genre: Crime,ACTIVE
74003264,VG: Genre: Stand-Up,ACTIVE
74003274,VG: Genre: Docuseries,ACTIVE
74003273,VG: Genre: Documentary,ACTIVE
74003270,VG: Genre: Romance,ACTIVE
74003277,VG: Genre: Gay,ACTIVE
74003275,VG: Genre: Educational,ACTIVE
74003282,VG: Genre: HowTo,ACTIVE
74003281,VG: Genre: Country,ACTIVE
74003279,VG: Genre: GLBT,ACTIVE
74003285,VG: Genre: Horror,ACTIVE
74003283,VG: Genre: Makeover,ACTIVE
74003301,VG: Genre: MusicNews,IN_ACTIVE
74003298,VG: Genre: MusicVideo,IN_ACTIVE
74003294,VG: Genre: Musical,ACTIVE
74003287,VG: Genre: Music,ACTIVE
74003311,VG: Genre: NewsSpecial,IN_ACTIVE
74003308,VG: Genre: NewsandInformation,IN_ACTIVE
74003325,VG: Genre: GameShow,IN_ACTIVE
74003322,VG: Genre: Competition,ACTIVE
74003316,VG: Genre: Political,ACTIVE
74003340,VG: Genre: RealityTV,IN_ACTIVE
74003337,VG: Genre: RealityShow,ACTIVE
74003332,VG: Genre: Reality TV,ACTIVE
74003330,VG: Genre: Reality,ACTIVE
74003353,VG: Genre: Sci-Fi,IN_ACTIVE
74003346,VG: Genre: Fantasy,ACTIVE
74003364,VG: Genre: Esportes,ACTIVE
74003390,VG: Genre: Animals,ACTIVE
74003396,VG: Genre: Gospel,ACTIVE
74003395,VG: Genre: Fight,ACTIVE
74003394,VG: Genre: Fashion,ACTIVE
74003392,VG: Genre: Entertainment,ACTIVE
74003408,VG: Genre: Scripted,ACTIVE
74003405,VG: Genre: Retro,ACTIVE
74003399,VG: Genre: Lifestyle,ACTIVE
74003420,VG: Genre: SPECIAL,ACTIVE
74003417,VG: Genre: ShortForm,IN_ACTIVE
74003414,VG: Genre: SERIES,ACTIVE
74003425,VG: Genre: Variety,ACTIVE
74003422,VG: Genre: TalkShow,IN_ACTIVE
74003439,VG: Genre: Sports,ACTIVE
74003431,VG: Genre: News,ACTIVE
74003444,VG: Genre: Dramas,ACTIVE
74003441,VG: Genre: Comedies,ACTIVE
74003454,VG: Genre: Classics,ACTIVE
74003453,VG: Genre: Late Night,ACTIVE
75342798,VG: Genre: Cooking Instruction,ACTIVE
75342797,VG: Genre: Biographical Documentaries,ACTIVE
75342794,VG: Genre: African-American Documentaries,ACTIVE
75342803,VG: Genre: Education & Guidance,ACTIVE
75342801,VG: Genre: DIY & How To,ACTIVE
75342800,VG: Genre: Crime Documentaries,ACTIVE
75342809,VG: Genre: Historical Documentaries,ACTIVE
75342808,VG: Genre: Foreign Documentaries,ACTIVE
75342805,VG: Genre: Faith & Spirituality Documentaries,ACTIVE
75342817,VG: Genre: Inspirational Biographies,ACTIVE
75342814,VG: Genre: Indie Documentaries,ACTIVE
75342813,VG: Genre: History & Social Studies,ACTIVE
75342822,VG: Genre: Music Documentaries,ACTIVE
75342821,VG: Genre: Miscellaneous Documentaries,ACTIVE
75342820,VG: Genre: Military Documentaries,ACTIVE
75342897,VG: Genre: Science and Nature Documentaries,ACTIVE
75342891,VG: Genre: Religion & Mythology Documentaries,ACTIVE
75342908,VG: Genre: Travel & Adventure Documentaries,ACTIVE
75342905,VG: Genre: Sports Documentaries,ACTIVE
75342901,VG: Genre: Social & Cultural Documentaries,ACTIVE
75342928,VG: Genre: Classic Rock,ACTIVE
75342922,VG: Genre: Christian & Gospel,ACTIVE
75342917,VG: Genre: Blues,ACTIVE
75342936,VG: Genre: Contemporary R&B,ACTIVE
75342934,VG: Genre: Classical,ACTIVE
75342943,VG: Genre: Hard Rock & Heavy Metal,ACTIVE
75342938,VG: Genre: Disco,ACTIVE
75342949,VG: Genre: Modern & Contemporary,ACTIVE
75342947,VG: Genre: Indie,ACTIVE
75342946,VG: Genre: Hip-Hop/Rap,ACTIVE
75342945,VG: Genre: Hip-Hop,ACTIVE
75342951,VG: Genre: Must-See Concerts,ACTIVE
75343151,VG: Genre: Punk Rock,ACTIVE
75343149,VG: Genre: Pop,ACTIVE
75343154,VG: Genre: Rap & Hip-Hop,ACTIVE
75343153,VG: Genre: R&B/Soul,ACTIVE
75343160,VG: Genre: Rock & Roll Oldies,ACTIVE
75343159,VG: Genre: Rock,ACTIVE
75343157,VG: Genre: Reggae,ACTIVE
75343166,VG: Genre: Consumer Products & Software,ACTIVE
75343165,VG: Genre: Urban & Dance,ACTIVE
75343163,VG: Genre: Singer-Songwriters,ACTIVE
75343162,VG: Genre: Singer/Songwriter,ACTIVE
75343171,VG: Genre: Investigative Journalism,ACTIVE
75343168,VG: Genre: General News,ACTIVE
75343189,VG: Genre: Animal Tales,ACTIVE
75343188,VG: Genre: Sports Comedies,ACTIVE
75343186,VG: Genre: Sports & Sports Highlights,ACTIVE
75343193,VG: Genre: Coming of Age,ACTIVE
75343192,VG: Genre: Comic Books and Superheroes,ACTIVE
75343191,VG: Genre: Book Characters,ACTIVE
75343197,VG: Genre: Family Classics,ACTIVE
75343196,VG: Genre: Family Animation,ACTIVE
75343195,VG: Genre: Family Adventures,ACTIVE
75343194,VG: Genre: Dinosaurs,ACTIVE
75343201,VG: Genre: Family Sci-Fi & Fantasy,ACTIVE
75343200,VG: Genre: Family Dramas,ACTIVE
75343198,VG: Genre: Family Comedies,ACTIVE
75343207,VG: Genre: Kids' Inspirational,ACTIVE
75343205,VG: Genre: Kids' Anime,ACTIVE
