id,name,status
74003219,VG: Genre-Sub: Action & Adventure,ACTIVE
337220728,VG: Genre-Sub: Adult,ACTIVE
74003242,VG: Genre-Sub: African American,ACTIVE
256098745,VG: Genre-Sub: Animals & Pets,ACTIVE
74003244,VG: Genre-Sub: Animation,ACTIVE
254532815,VG: Genre-Sub: Arts,ACTIVE
254532829,VG: Genre-Sub: Automotive,ACTIVE
254532865,VG: Genre-Sub: Career & Occupation,ACTIVE
173751782,VG: Genre-Sub: Celebrity,IN_ACTIVE
74003249,VG: Genre-Sub: Children & Family,ACTIVE
254532886,VG: Genre-Sub: Classic & Cult Classic,ACTIVE
74003256,VG: Genre-Sub: Comedy,ACTIVE
282545757,VG: Genre-Sub: Commercials,ACTIVE
74003266,VG: Genre-Sub: Crime,ACTIVE
74003268,VG: Genre-Sub: Drama,ACTIVE
74003272,VG: Genre-Sub: Educational & Documentary,ACTIVE
254532976,VG: Genre-Sub: Entertainment,ACTIVE
254533058,VG: Genre-Sub: Fashion & Style,ACTIVE
74003276,VG: Genre-Sub: GLBT,ACTIVE
283152167,VG: Genre-Sub: Health & Fitness,ACTIVE
173752836,VG: Genre-Sub: Hobbies & Interests,ACTIVE
402498722,VG: Genre-Sub: Holiday,ACTIVE
74003280,VG: Genre-Sub: Home & Garden,ACTIVE
74003284,VG: Genre-Sub: Horror,ACTIVE
254533681,VG: Genre-Sub: Independent Film,ACTIVE
257718460,VG: Genre-Sub: International,ACTIVE
254533799,VG: Genre-Sub: Latino,ACTIVE
74003286,VG: Genre-Sub: Music Video,ACTIVE
263284746,VG: Genre-Sub: Musical,ACTIVE
386787709,VG: Genre-Sub: Mystery,ACTIVE
74003304,VG: Genre-Sub: News & Politics,ACTIVE
74003321,VG: Genre-Sub: Reality & Gameshow,ACTIVE
256417547,VG: Genre-Sub: Religion & Spirtuality,ACTIVE
1398034159,VG: Genre-Sub: Romance,ACTIVE
74003345,VG: Genre-Sub: Sci-Fi & Fantasy,ACTIVE
254550888,VG: Genre-Sub: Science & Technology,ACTIVE
74003361,VG: Genre-Sub: Sports,ACTIVE
257737513,VG: Genre-Sub: Talk,ACTIVE
386787810,VG: Genre-Sub: Thriller & Suspense,ACTIVE
