Networks,Genres,Showlist,Pluto Categories,Pluto Channels
Paramount Network,Drama,Tulsa King,True Crime,P+ Picks
,Comedy,Landman,Drama,Paramount Movie Channel
,Crime,Mayor of Kingstown,History & Science,Westerns
,Western,Dutton Ranch,Movies - Action,Rawhide
,War,Marshals,Entertainment - General,PBR
,Sports,Mobland,Reality - Adventure,Gunsmoke
,Action/Adventure,The Madison,Sports,Western TV
,News,Tracker,,Wanted: Dead or Alive
,,NCIS: Tony & Ziva,,Crime Drama
,,Sheriff Country,,Action Drama
,,Roofman,,Criminal Minds
,,Boston Blue,,Blue Bloods
,,Lioness,,COPS
,,Fire Country,,Bar Rescue
,,Dexter: Resurrection,,Top Gear
,,The Naked Gun,,ION
,,NCIS: New York,,Action
,,Novocaine,,Reaction
,,NCIS,,Thrillers
,,The Contractor,,CSI
,,NCIS: Origins,,CSI: NY
,,FBI,,CSI: Miami
,,,,Law & Order
,,,,SWAT
,,,,Hometown Drama
,,,,Universal Action
,,,,Spike
,,,,Dog The Bounty Hunter
,,,,Ink Master
,,,,Smokehouse
,,,,Xtreme Outdoors
,,,,50 Cent Action
,,,,UFC
,,,,CBS Sports HQ
