segment_name,structure
AAM - ViacomCBS Addressable / d0: Profiles | Super Hero Fans : VCBS Jul21,AAM-VCBS-Extension
AAM - ViacomCBS Addressable / d15: Profiles | DC : Franchise -,AAM-VCBS-Extension
AAM - ViacomCBS Addressable / d27: Extension | Blue Bloods : Paramount Wide,AAM-VCBS-Extension
AAM - ViacomCBS Addressable / d28: Profiles | Drama : Interest,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | AT&T : Mobile Carrier - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | Android OS : Device OS - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | PrePaid : Mobile Carrier - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | Sprint : Mobile Carrier - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | T-Mobile : Mobile Carrier - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | Verizon : Mobile Carrier - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | Xbox One : Device - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Profile | iOS : Device OS - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Prospect | Streaming & OTT : Active/Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d0: Visitor Profile | Fire TV : OTT Device - VCBS,AAM-VCBS-Extension
"AAM-VCBS-d0: Visitor Profile | iPhone NOT (XR, XS, XS Max) : Mobile Device - VCBS",AAM-VCBS-Extension
AAM-VCBS-d15: Profiles | DC : Franchise - Movies,AAM-VCBS-Extension
AAM-VCBS-d15: Profiles | Marvel : Franchise - Movies,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 19-24 (DEAN) : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 19-24 : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 25-34 (DEAN) : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 25-34 : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 35-44 (DEAN) : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 35-44 : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 45-54 (DEAN) : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 45-54 : Age - VCBS,AAM-VCBS-Extension
AAM-VCBS-d1: Demo | 55-64 (DEAN) : Age - VCBS,AAM-VCBS-Extension
