region,categorie
USA,African American
USA,Animals + Nature
USA,Anime
USA,Big Brother
USA,Classic TV
USA,ClassicTV
USA,Comedy
USA,Crime
USA,Daytime TV
USA,Drama
USA,En Español
USA,Entertainment
USA,Entertainment - Celebrity
USA,Entertainment - General
USA,Entertainment - Romance
USA,Game Shows
USA,Gaming Anime
USA,Halloween Hits
USA,History + Science
USA,History Factual
USA,Holiday
USA,Home + Food
USA,Home Lifestyle Food Culture
USA,Kids
USA,Local News
USA,Movie
USA,Movies
USA,Movies - Action
USA,Movies - General
USA,Movies - Mainstream
USA,Movies - Thriller/Horror
USA,Movies - Throwback
USA,Music
USA,Music Videos
USA,News
USA,News + Opinion
USA,News - Finance/Business
USA,News - Other
USA,News - Paramount Owned
USA,News - Politics
USA,Paranormal
USA,Reality
USA,Reality - Adventure
USA,Reality - Competition
USA,Reality - Lifestyle
USA,Sci-Fi
USA,Seasonal
USA,Seasons Greeting
USA,Spanish
USA,Spanish: Comedy
USA,Spanish: Crime
USA,Spanish: Daytime
USA,Spanish: Entertainment - General
USA,Spanish: Fantasy
USA,Spanish: Food
USA,Spanish: Gaming-Anime
USA,Spanish: Horror-Thriller
USA,Spanish: Kids
USA,Spanish: Lifestyle-Culture
USA,Spanish: Movies - General
USA,Spanish: News
USA,Spanish: Reality
USA,Spanish: Romance-Novelas
USA,Spanish: Sports
USA,Sports
USA,True Crime
USA,Westerns
USA,Young Adult
CA,ClassicTV
CA,Comedy
CA,Crime
CA,Daytime TV
CA,Drama
CA,Entertainment
CA,French
CA,Game Shows
CA,Gaming Anime
CA,History Factual
CA,Holiday
CA,Home Lifestyle Food Culture
CA,Horror
CA,Kids
CA,Movies
CA,Music
CA,News
CA,Paranormal
CA,Reality
CA,Sci-Fi
CA,Sports
CA,Westerns
BR,ClassicTV
BR,Comedy
BR,Crime
BR,Curiosity
BR,Drama
BR,Entertainment
BR,Gaming Anime
BR,History Factual
BR,Holiday
BR,Home Lifestyle Food Culture
BR,Kids
BR,Movies
BR,Music
BR,New To Pluto
BR,News
BR,Reality
BR,Sci-Fi
BR,Sports
BR,Teen
UK,Adults
UK,ClassicTV
UK,Comedy
UK,Crime
UK,Daytime TV
UK,Drama
UK,Entertainment
UK,Game Shows
UK,Gaming Anime
UK,History Factual
UK,Holiday
UK,Home Lifestyle Food Culture
UK,Horror
UK,Kids
UK,Movies
UK,Music
UK,New To Pluto
UK,News
UK,Paranormal
UK,Reality
UK,Sci-Fi
UK,Sports
FR,ClassicTV
FR,Comedy
