series_id,name
1000019667,Telemundo Noticias Noreste [Live EPG]
1000028945,Say Yes to the Dress- Atlanta [Live EPG]
1000100641,The Super Bowl Soulful Celebration 25th Anniversary
1000294031,Keep It Clean - Nellie's Laundry [Live EPG]
1000294032,Home Refresh - South Street Loft Home Fashions & Decor [Live EPG]
1000294033,Spring Garden Essentials - Sun Joe 5th Anniversary [Live EPG]
1000398182,Lift
1000458173,Coheed & Cambria- Live at the Starland Ballroom [Live EPG]
1000465154,True School Ladies [Live EPG]
1000465156,International Rap [Live EPG]
1000474996,Rush- The Rise Of Kings (Part 2) [Live EPG]
1000477523,PFL MMA Daytime Card FI
1000505752,Levante Vevintré - Anni di voli pindarici
1000541598,Super Bowl Recaps [Live EPG]
1000554380,Rogue (2007) DE
1000578873,Ready Set Dance DA
1000607603,NBC Dallas News [Live EPG]
1000635014,TBA [Live EPG]
1000658636,NWA-TNA PPV #96 [Live EPG]
1000658637,NWA-TNA PPV #97 [Live EPG]
1000672365,Universal Monsters [Live EPG]
1000696139,NBC7 News @ 5pm Sunday [Live EPG]
1000720515,Wildcat (2021)
1000721833,Fatal Dive to the Titanic- Truth and Lies [Live EPG]
1000727845,Night Of The Sicario
1000789856,Primeval New Zealand [Live EPG]
1000799677,Silo
1000808489,Kenya- Animal Kingdom
100081411,BET: News
1000818086,Strike Force [Live EPG]
1000818372,Lost Worlds- Deeper into the Black Sea [Live EPG]
1000833579,Race in America- The Conversation [Live EPG]
1000833684,NBC Bay Area News at 11AM [Live EPG]
1000833685,Today In The Bay at 7am [Live EPG]
1000833686,Bay Cut In [Live EPG]
1000833687,NBC Bay Area News @ 4-30pm [Live EPG]
1000833690,NBC Bay Area News @ 5-30pm [Live EPG]
1000833694,NBC Bay Area News at 7pm [Live EPG]
1000833725,6-30a- Today in the Bay [Live EPG]
1000850134,Today In the Bay 7-00a - 10-00am [Live EPG]
1000850136,Today In the Bay 7-00a - 11-00am [Live EPG]
1000850604,NBC Bay Area News At 6p - 8pm [Live EPG]
1000850749,Today In the Bay 7-00a Fast Only - 9-00am [Live EPG]
